2015-05-10 16:13:31 cleaner.py[line:37]         [INFO] Cleaned c:\imgdownload\1429800924_1.zip
2015-05-10 16:50:01 cleaner.py[line:37]         [INFO] Cleaned c:\imgdownload\1431245611_1.zip
2015-05-12 21:52:07 package_work.py[line:32]         [WARNING] Sys Start
2015-05-12 21:54:45 package_work.py[line:32]         [WARNING] Sys Start
2015-05-12 21:56:36 package_work.py[line:32]         [WARNING] Sys Start
2015-05-12 21:57:15 package_work.py[line:32]         [WARNING] Sys Start
2015-05-12 21:57:57 package_work.py[line:32]         [WARNING] Sys Start
2015-05-12 21:58:52 package_work.py[line:32]         [WARNING] Sys Start
2015-05-12 21:59:25 package_work.py[line:32]         [WARNING] Sys Start
2015-05-12 22:00:36 package_work.py[line:29]         [WARNING] Sys Start
2015-05-12 22:00:42 imgdownload.py[line:56]         [ERROR] ('Connection aborted.', error(10061, '')): http://localhost/imgareaselect/imgs/1.jpg
2015-05-12 22:00:42 imgdownload.py[line:56]         [ERROR] ('Connection aborted.', error(10061, '')): http://localhost/imgareaselect/imgs/2.jpg
2015-05-12 22:06:13 package_work.py[line:29]         [WARNING] Sys Start
2015-05-12 22:06:22 imgdownload.py[line:56]         [ERROR] ('Connection aborted.', error(10061, '')): http://localhost/imgareaselect/imgs/1.jpg
2015-05-12 22:06:22 imgdownload.py[line:56]         [ERROR] ('Connection aborted.', error(10061, '')): http://localhost/imgareaselect/imgs/2.jpg
